,25-Aug-2026
The Nifty witnessed an intraday movement of about 219.1 points.The closing index was 0.48 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 106655.03
, Traded Quantity (in Lakhs), 60579.45
, Number of Trades, 34295670
, Total Market Capitalisation (Rs. Crores), 49301661.28

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty500 LowVol50,     22331.10,     22313.35,     22399.35,     22209.95,     22398.80,67.70
,Nifty500 MQVLv50,     30602.10,     30589.05,     30678.40,     30451.80,     30674.55,72.45
,Nifty500 Flexicap,     10128.90,     10120.15,     10164.00,     10072.80,     10162.45,33.55
,Nifty TMMQ 50,     44751.20,     44719.70,     44839.10,     44416.80,     44825.85,74.65
,Nifty FPI 150,      1575.05,      1572.80,      1583.65,      1568.20,      1583.65,8.60
,Nifty SME Emerge,     14653.35,     14691.35,     14758.15,     14690.60,     14734.65,81.30
,Nifty Internet,      1456.25,      1460.00,      1481.35,      1453.55,      1481.35,25.10
,Nifty Chemicals,     30038.65,     30095.85,     30115.15,     29853.00,     30041.55,2.90
,Nifty Waves,      1949.50,      1951.35,      1960.90,      1939.05,      1942.95,-6.55
,Nifty InfraLog,     12134.20,     12119.55,     12197.45,     12076.30,     12195.40,61.20
,Nifty500 Health,     21395.70,     21398.40,     21610.60,     21296.65,     21598.70,203.00
,Nifty RailwaysPSU,      2827.35,      2828.50,      2838.45,      2805.05,      2819.35,-8.00
,NiftyConglomerate,     15364.95,     15362.25,     15480.75,     15301.20,     15477.70,112.75
,Nifty MidSmall 50 50,     21050.55,     21049.15,     21087.10,     20984.65,     21081.60,31.05
,Nifty Cement,     14822.15,     14844.75,     14863.90,     14683.55,     14859.20,37.05
,Nifty Smallcap 500,     20988.85,     21004.20,     21017.15,     20888.20,     20935.50,-53.35
,Nifty REITs Realty,      1961.90,      1961.30,      1962.90,      1953.05,      1959.00,-2.90
,India VIX,11.5250,11.5250,11.6150,9.4500,11.0750,-0.4500

,ADVANCES,1756
,DECLINES,1969
,UNCHANGED,107

,Total securities that have hit their price bands today,228

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR,VALUE(Rs Crs)
,FACT,EQ,       784.25,       876.10,11.71,3053.41
,HINDCOPPER,EQ,       574.15,       532.65,-7.23,2391.42
,IDEA,EQ,        14.07,        15.19,7.96,2286.47
,PAYTM,EQ,      1623.50,      1718.00,5.82,1695.52
,SAIL,EQ,       179.65,       184.59,2.75,1271.33
,HDFCBANK,EQ,       729.00,       727.50,-0.21,1269.76
,ICICIBANK,EQ,      1415.00,      1422.70,0.54,1133.98
,FMGOETZE,EQ,       483.35,       534.10,10.50,1123.56
,GROWW,EQ,       196.47,       203.01,3.33,1078.58
,SBIN,EQ,      1039.50,      1048.00,0.82,1038.77
,NETWEB,EQ,      5454.50,      5273.50,-3.32,1006.24
,SHANKESH,EQ,        93.00,        94.82,1.96,969.97
,ETERNAL,EQ,       327.15,       331.00,1.18,956.79
,RELIANCE,EQ,      1309.80,      1317.00,0.55,929.19
,INFY,EQ,      1130.00,      1144.00,1.24,915.24
,DHOOTTRANS,EQ,      1443.40,      1521.75,5.43,821.92
,PARADEEP,EQ,       149.40,       159.63,6.85,816.14
,DIXON,EQ,     14570.00,     14990.00,2.88,765.37
,LALITHAA,EQ,       248.44,       249.87,0.58,753.31
,BHARTIARTL,EQ,      1935.00,      1947.00,0.62,740.28
,BSE,EQ,      3312.70,      3303.00,-0.29,731.43
,KALYANKJIL,EQ,       607.95,       612.60,0.76,722.38
,KAYNES,EQ,      3840.20,      3936.00,2.49,714.53
,TCS,EQ,      2284.10,      2296.20,0.53,694.47
,PCJEWELLER,EQ,        11.12,        11.00,-1.08,666.19

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ADANIENT,EQ,      3110.00,      2998.60,3.72
,MAXHEALTH,EQ,      1016.00,       990.50,2.57
,APOLLOHOSP,EQ,      8889.00,      8702.00,2.15
,INDIGO,EQ,      5218.00,      5115.00,2.01
,ADANIPORTS,EQ,      1702.70,      1672.10,1.83

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HDFCLIFE,EQ,       546.70,       552.95,-1.13
,CIPLA,EQ,      1422.00,      1437.90,-1.11
,ONGC,EQ,       234.00,       236.55,-1.08
,COALINDIA,EQ,       404.00,       406.90,-0.71
,HINDALCO,EQ,      1051.05,      1058.50,-0.70

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE,TRADED QUANTITY
,0MOFSL27,N3,      1225.81,                     1225.81,1
,1003ISFL28,N4,      1014.88,                     5074.40,5
,1003SCL31A,N1,      1027.08,                   356500.26,347
,1003SCL31P,N1,      1030.49,                   824866.05,825
,1015ECL29,NR,      1016.00,                  2453047.34,2406
,1018GS2026,GS,       104.49,                    14382.80,137
,1025SCL34A,ZT,      1010.00,                  1010000.00,1000
,1025VCCL28,N0,     96500.00,                   288500.00,3
