Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
01-JUN-2026,507663,4.13,4.13,0.0000,0.0091,0.0091,0.1739
01-JUN-2026,507690,206.40,217.25,-0.0512,0.0321,0.0322,0.6152
01-JUN-2026,507753,110.75,112.00,-0.0112,0.0260,0.0260,0.4967
01-JUN-2026,507759,14.43,14.98,-0.0374,0.0451,0.0450,0.8597
01-JUN-2026,507808,36.00,36.00,0.0000,0.0229,0.0228,0.4356
01-JUN-2026,507813,72.99,72.01,0.0135,0.0341,0.0340,0.6496
01-JUN-2026,507817,153.85,153.85,0.0000,0.0324,0.0323,0.6171
01-JUN-2026,507828,7.14,7.48,-0.0465,0.0360,0.0360,0.6878
01-JUN-2026,507833,3.97,3.99,-0.0050,0.0281,0.0280,0.5349
01-JUN-2026,507852,97.27,100.00,-0.0277,0.0291,0.0291,0.5560
01-JUN-2026,507872,38.03,38.21,-0.0047,0.0300,0.0299,0.5712
01-JUN-2026,507912,181.75,184.65,-0.0158,0.0289,0.0289,0.5521
01-JUN-2026,507917,52.47,55.03,-0.0476,0.0315,0.0316,0.6037
01-JUN-2026,507938,22.89,22.89,0.0000,0.0203,0.0202,0.3859
01-JUN-2026,507946,14.58,16.20,-0.1054,0.0382,0.0388,0.7413
01-JUN-2026,507948,67.70,71.26,-0.0512,0.0335,0.0336,0.6419
01-JUN-2026,507952,3.15,3.15,0.0000,0.0000,0.0000,0.0000
01-JUN-2026,507960,186.45,190.40,-0.0210,0.0264,0.0263,0.5025
01-JUN-2026,507962,4.85,4.73,0.0251,0.0292,0.0292,0.5579
01-JUN-2026,507966,52.03,52.00,0.0006,0.0464,0.0463,0.8846
01-JUN-2026,507968,34.31,35.00,-0.0199,0.0280,0.0280,0.5349
01-JUN-2026,507970,34.06,35.50,-0.0414,0.0346,0.0346,0.6610
01-JUN-2026,507981,61.40,63.01,-0.0259,0.0268,0.0268,0.5120
01-JUN-2026,507984,638.00,650.00,-0.0186,0.0192,0.0192,0.3668
01-JUN-2026,507987,3.99,3.99,0.0000,0.0040,0.0040,0.0764
01-JUN-2026,507998,171.90,178.65,-0.0385,0.0339,0.0339,0.6477
01-JUN-2026,508494,43.29,43.05,0.0056,0.0283,0.0283,0.5407
01-JUN-2026,508571,140.25,142.00,-0.0124,0.0383,0.0382,0.7298
01-JUN-2026,508664,11.39,11.63,-0.0209,0.0328,0.0328,0.6266
01-JUN-2026,508807,671.45,709.05,-0.0545,0.0228,0.0230,0.4394
01-JUN-2026,508860,0.80,0.84,-0.0488,0.0130,0.0134,0.2560
01-JUN-2026,508867,27.75,26.43,0.0487,0.0137,0.0141,0.2694
01-JUN-2026,508875,525.60,525.60,0.0000,0.0315,0.0314,0.5999
01-JUN-2026,508905,125.00,119.08,0.0485,0.0405,0.0406,0.7757
01-JUN-2026,508918,42.73,42.55,0.0042,0.0392,0.0391,0.7470
01-JUN-2026,508929,602.30,608.35,-0.0100,0.0164,0.0163,0.3114
01-JUN-2026,508941,472.30,478.00,-0.0120,0.0156,0.0156,0.2980
01-JUN-2026,508956,9.96,10.05,-0.0090,0.0376,0.0375,0.7164
01-JUN-2026,508961,259.35,259.35,0.0000,0.0304,0.0303,0.5789
01-JUN-2026,508969,3.04,3.10,-0.0195,0.0283,0.0283,0.5407
01-JUN-2026,508980,6.90,6.70,0.0294,0.0352,0.0352,0.6725
01-JUN-2026,508993,2.45,2.45,0.0000,0.0000,0.0000,0.0000
01-JUN-2026,509003,0.13,0.13,0.0000,0.0000,0.0000,0.0000
01-JUN-2026,509015,16.85,16.42,0.0259,0.0369,0.0368,0.7031
01-JUN-2026,509024,9.43,9.15,0.0301,0.0678,0.0677,1.2934
01-JUN-2026,509026,84.95,83.75,0.0142,0.0474,0.0473,0.9037
01-JUN-2026,509038,12.58,12.58,0.0000,0.0151,0.0151,0.2885
01-JUN-2026,509040,192.15,192.80,-0.0034,0.0321,0.0321,0.6133
01-JUN-2026,509046,46.93,45.00,0.0420,0.0318,0.0319,0.6094
01-JUN-2026,509051,0.63,0.62,0.0160,0.0368,0.0367,0.7012
01-JUN-2026,509053,7.00,6.95,0.0072,0.0256,0.0255,0.4872
01-JUN-2026,509073,13.60,12.01,0.1243,0.0437,0.0444,0.8483
01-JUN-2026,509084,132.60,132.60,0.0000,0.0214,0.0214,0.4088
01-JUN-2026,509099,74.90,74.90,0.0000,0.0091,0.0091,0.1739
01-JUN-2026,509162,85.04,86.57,-0.0178,0.0266,0.0266,0.5082
01-JUN-2026,509196,66.34,66.70,-0.0054,0.0284,0.0283,0.5407
01-JUN-2026,509423,36.70,35.00,0.0474,0.0366,0.0367,0.7012
01-JUN-2026,509438,10255.00,10230.25,0.0024,0.0158,0.0157,0.2999
01-JUN-2026,509449,32.50,34.99,-0.0738,0.0389,0.0391,0.7470
01-JUN-2026,509470,20025.00,20393.80,-0.0182,0.0251,0.0251,0.4795
01-JUN-2026,509472,351.65,366.95,-0.0426,0.0299,0.0300,0.5731
01-JUN-2026,509486,76.71,73.14,0.0477,0.0315,0.0316,0.6037
01-JUN-2026,509525,1031.50,1021.65,0.0096,0.0204,0.0204,0.3897
01-JUN-2026,509563,22.15,22.48,-0.0148,0.0356,0.0355,0.6782
01-JUN-2026,509597,758.20,778.35,-0.0262,0.0326,0.0326,0.6228
01-JUN-2026,509650,38.74,38.74,0.0000,0.0007,0.0007,0.0134
01-JUN-2026,509760,31.25,31.99,-0.0234,0.0373,0.0373,0.7126
01-JUN-2026,509762,42.08,42.08,0.0000,0.0882,0.0879,1.6793
01-JUN-2026,509782,17.95,17.95,0.0000,0.0000,0.0000,0.0000
01-JUN-2026,509835,16.90,14.84,0.1300,0.0445,0.0453,0.8655
01-JUN-2026,509845,455.00,455.00,0.0000,0.0174,0.0174,0.3324
01-JUN-2026,509870,60.74,60.74,0.0000,0.0040,0.0040,0.0764
01-JUN-2026,509887,810.00,810.00,0.0000,0.0293,0.0292,0.5579
01-JUN-2026,509895,168.75,168.40,0.0021,0.0255,0.0254,0.4853
01-JUN-2026,509910,25.00,25.00,0.0000,0.0189,0.0189,0.3611
01-JUN-2026,509917,99.54,99.54,0.0000,0.0084,0.0084,0.1605
01-JUN-2026,509953,635.85,635.85,0.0000,0.0296,0.0295,0.5636
01-JUN-2026,509960,1420.00,1397.50,0.0160,0.0274,0.0274,0.5235
