Symbol,Series,LTP,%chng,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
SGBMAR31IV,GB,15440,0.47,5452.77,0,0.21
BALAXI,EQ,23.4,0.26,129.19,0.88,0.21
GTPL,EQ,58.5,0.72,657.91,0.36,0.21
ONELIFECAP,BE,32,4.23,119.55,0.69,0.21
SPCENET,EQ,3.59,-0.55,203.82,5.73,0.21
GUJAPOLLO,EQ,345,0.82,447.46,0.06,0.21
KRISHCA,SM,157.5,-1.56,250.86,0.13,0.2
ENKEIWHEL,EQ,403,1.61,724.39,0.05,0.2
876HUDCO28,ND,1137.11,0.23,926.75,0.02,0.2
MADHAVBAUG,ST,154,2.67,161.91,0.13,0.2
TTL,EQ,6.9,1.02,178.23,2.96,0.2
VGL,EQ,55.01,3.29,283.46,0.37,0.2
BALAJIPHOS,SM,113,10.19,268.68,0.18,0.2
BELLACASA,EQ,250,3.66,334.69,0.08,0.2
TIGERLOGS,EQ,27.48,-1.22,290.53,0.72,0.2
RNBDENIMS,BE,9.6,-4.86,259.12,2.03,0.2
MANGALAM,EQ,31.85,8.59,50.41,0.64,0.2
GJL,ST,250,3.05,362.68,0.08,0.2
TVTODAY,EQ,110.02,-0.87,656.47,0.18,0.2
DIGIKORE,SM,39,-2.38,49.4,0.48,0.2
MOTOGENFIN,EQ,27,-1.64,104.56,0.72,0.2
901NHB34,N6,6372.5,-0.27,848.46,0,0.19
ITAXIS,EQ,320.3,-2.75,53.83,0.06,0.19
HMVL,BE,79.5,-3.03,585.69,0.24,0.19
BEWLTD,SM,49,-0.71,64.06,0.4,0.19
HDFCPVTBAN,EQ,27.99,-0.18,875.46,0.69,0.19
CIFL,EQ,19.98,-0.89,781.33,0.96,0.19
YASHOPTICS,SM,115,2.13,284.8,0.17,0.19
CUDML,SM,105,1.5,185.28,0.18,0.19
HDFCPSUBK,EQ,84.26,-0.39,53.19,0.22,0.19
ANDREWYU,EQ,26.53,-2.39,1297.19,0.7,0.19
SAKHTISUG,EQ,19.69,-1.2,234.01,0.96,0.19
CEMNTGROWW,EQ,14.33,-0.35,8.31,1.31,0.19
VIKASECO,EQ,1.06,0.95,187.48,17.63,0.19
DHARARAIL,ST,142,1.43,214.19,0.13,0.19
FLEXIADD,EQ,9.86,-1.1,14.46,1.89,0.19
SEJALLTD,EQ,645.2,-0.94,735.53,0.03,0.19
TWCGOLDETF,EQ,151.41,-0.07,30.06,0.12,0.18
NETF,EQ,256.53,-0.54,700.79,0.07,0.18
GTL,EQ,7.19,2.42,113.1,2.54,0.18
YAAP,SM,131.75,-0.42,275.79,0.14,0.18
SGBJUN28,GB,15150,0.53,3618.32,0,0.18
VIKASLIFE,EQ,1.26,-1.56,234.07,14.36,0.18
SETF10GILT,EQ,265.25,0.09,3335.22,0.07,0.18
GOODYEAR,EQ,729.6,0.61,1682.93,0.02,0.18
ABINFRA,BE,11.5,-0.09,734.61,1.56,0.18
CHEVIOT,EQ,1185,-2.44,692.26,0.01,0.18
