"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"GPTINFRA","GPT Infraprojects Limited","EQ"," Interim Dividend - Rs 1.50 Per Share","10","16-Feb-2021","17-Feb-2021","-","-"
"SUNTV","Sun TV Network Limited","EQ"," Interim Dividend - Rs 5 Per Share","5","17-Feb-2021","19-Feb-2021","-","-"
"RCF","Rashtriya Chemicals and Fertilizers Limited","EQ"," Interim Dividend - Rs 1.20 Per Share","10","17-Feb-2021","19-Feb-2021","-","-"
"SUVENPHAR","Suven Pharmaceuticals Limited","EQ"," Interim Dividend - Re 1  Per Share","1","17-Feb-2021","18-Feb-2021","-","-"
"VIDHIING","Vidhi Specialty Food Ingredients Limited","EQ"," Interim Dividend - Re 0.20 Per Share","1","17-Feb-2021","19-Feb-2021","-","-"
"AMRUTANJAN","Amrutanjan Health Care Limited","EQ"," Interim Dividend - Rs 0.80 Per Share","1","17-Feb-2021","19-Feb-2021","-","-"
"CAMS","Computer Age Management Services Limited","EQ"," Interim Divdend - Rs 7.60 Per Share","10","17-Feb-2021","19-Feb-2021","-","-"
"ESABINDIA","Esab India Limited","EQ"," Interim Dividend - Rs 19 Per Share","10","17-Feb-2021","18-Feb-2021","-","-"
"BEML","BEML Limited","EQ"," Interim Dividend - Rs 4.80 Per Share","10","17-Feb-2021","19-Feb-2021","-","-"
"FSL","Firstsource Solutions Limited","EQ"," Interim Dividend - Rs 3 Per Share","10","17-Feb-2021","19-Feb-2021","-","-"
"BPCL","Bharat Petroleum Corporation Limited","EQ"," Interim Dividend - Rs 16 Per Share","10","17-Feb-2021","19-Feb-2021","-","-"
"GRSE","Garden Reach Shipbuilders & Engineers Limited","EQ"," Interim Dividend - Rs 3.85 Per Share","10","17-Feb-2021","18-Feb-2021","-","-"
"AVTNPL","AVT Natural Products Limited","EQ"," Interim Dividend - Rs 0.30 Per Share","1","17-Feb-2021","20-Feb-2021","-","-"
"SANDESH","The Sandesh Limited","EQ"," Interim Dividend - Rs 5 Per Share","10","17-Feb-2021","19-Feb-2021","-","-"
"POLYPLEX","Polyplex Corporation Limited","EQ"," Interim Dividend - Rs 100 Per Share","10","17-Feb-2021","19-Feb-2021","-","-"
"MRF","MRF Limited","EQ"," Interim Dividend - Rs 3 Per Share","10","17-Feb-2021","19-Feb-2021","-","-"
"JAMNAAUTO","Jamna Auto Industries Limited","EQ"," Interim Dividend - Rs 0.25 Per Share","1","17-Feb-2021","18-Feb-2021","-","-"
"KPIL","Kalpataru Projects International Limited","EQ"," Interim Dividend - Rs 8.50 Per Share","2","17-Feb-2021","20-Feb-2021","-","-"
