SYMBOL,SYMBOL P/E,ADJUSTED P/E
VAIBHAVGBL,28.54,27.94
BIOCON,27.71,29.14
MAHABANK,7.04,7.04
XPROINDIA,52.88,50.77
RKFORGE,27.33,27.28
DATAMATICS,17.65,20.18
CCL,30.97,30.97
EXCELINDUS,17.77,17.77
LT,42.46,42.46
APARINDS,32.38,32.38
AMBICAAGAR,6.72,6.72
CENTEXT,17.10,17.34
NIITLTD,37.53,37.37
ULTRACEMCO,53.03,53.19
TCS,26.06,26.06
COFORGE,59.15,59.15
GULFPETRO,8.27,8.27
GUFICBIO,45.52,45.52
INDSWFTLTD,1.13,1.13
ASTRAMICRO,70.93,70.93
WELENT,19.14,19.14
NTPC,15.96,15.96
KOTARISUG,18.20,23.68
JBMA,65.10,65.10
SUPRAJIT,42.50,42.50
PATELENG,10.45,10.22
XCHANGING,21.02,21.02
JSWSTEEL,69.60,64.53
CONSOFINVT,5.86,5.86
JINDALPHOT,71.08,71.08
JPPOWER,12.16,12.16
EVEREADY,27.06,27.06
GOKEX,47.94,47.94
SAKSOFT,22.45,22.45
ALLDIGI,17.28,20.74
IIFL,29.79,10.12
MANGALAM,12.22,12.22
SHOPERSTOP,518.92,440.67
WELCORP,24.13,23.88
SSWL,5.56,17.23
SURYALAXMI,67.50,26.39
JKPAPER,9.18,9.18
PRIMESECU,21.17,22.90
GRANULES,24.18,24.18
JSWHL,152.40,152.40
GEOJITFSL,12.10,12.10
GENUSPOWER,44.02,44.02
YESBANK,26.75,26.75
MSPL,81.27,81.44
NECLIFE,29.84,29.84
SPLIL,10.06,10.05
GOLDIAM,35.17,35.17
SASKEN,44.13,44.13
FCSSOFT,171.60,46.17
IMPAL,15.98,15.98
SUZLON,68.67,67.10
AURIONPRO,40.79,40.79
TRIVENI,43.61,43.61
AIAENG,29.28,29.30
NAHARINDUS,23.45,21.90
ORIENTCER,39.28,39.28
EKC,14.53,14.25
VIMTALABS,34.70,34.70
KERNEX,273.68,273.68
NITINSPIN,12.47,12.47
ROHLTD,21.32,21.32
ENIL,77.14,77.14
GSPL,9.75,9.96
JAGRAN,10.23,10.23
GVKPIL,0.84,10.09
KEC,42.95,42.95
JKCEMENT,55.02,64.28
INDOTECH,37.94,37.94
M&MFIN,16.23,16.23
BLKASHYAP,27.24,29.63
CENTURYPLY,75.18,73.02
KEI,47.00,47.00
VAKRANGEE,165.11,165.11
SOLARINDS,104.78,104.78
GALLANTT,29.61,29.61
UTTAMSUGAR,17.58,17.58
KKCL,18.82,18.82
SUNTV,14.11,14.11
GPIL,16.56,16.56
RSYSTEMS,33.00,33.00
EMKAY,8.18,8.18
LOKESHMACH,64.14,64.14
BALPHARMA,21.84,21.84
SWELECTES,23.48,158.84
KAMDHENU,12.30,12.30
RATNAMANI,35.83,35.83
PIONEEREMB,23.61,23.61
JKLAKSHMI,34.25,34.25
ALLCARGO,106.60,63.44
MUNJALAU,11.61,14.32
EMAMILTD,33.85,33.85
TECHM,36.22,36.26
GRINDWELL,49.83,49.83
VOLTAMP,37.30,37.30
ATLANTAA,1.22,3.26
SELAN,11.17,11.17
ACE,37.49,37.49
ANANTRAJ,37.46,37.46
HOVS,17.31,17.31
BINANIIND,8.96,
TALBROAUTO,16.52,23.14
ALICON,24.33,24.33
GEECEE,13.01,13.01
JMFINANCIL,13.64,13.64
FIEMIND,21.78,21.78
DCBBANK,7.29,7.29
INSPIRISYS,16.85,16.85
NAUKRI,112.66,115.13
AARVEEDEN,18.82,18.82
GESHIP,5.45,5.45
TORNTPOWER,29.61,29.61
MANALIPETC,31.25,28.67
LTFOODS,22.68,22.68
DONEAR,12.45,12.45
RUCHIRA,6.24,6.24
SOBHA,229.19,229.22
VENUSREM,12.09,15.12
JINDRILL,15.36,15.36
HIRECT,47.52,47.52
NFL,26.80,26.80
PLASTIBLEN,14.58,14.58
PARACABLES,16.95,16.95
HBLENGINE,50.14,47.20
TANLA,14.79,14.79
AVTNPL,22.06,22.06
VEEDOL,21.64,20.81
LUMAXTECH,20.26,20.26
SARLAPOLY,13.35,13.35
PTL,16.49,16.49
WANBURY,20.03,47.94
AUTOIND,19.41,17.47
GANDHITUBE,13.47,13.47
PITTIENG,29.29,29.29
UNOMINDA,64.53,66.42
IZMO,8.85,8.51
TIIL,24.87,24.21
ORIENTBELL,82.24,82.24
PGIL,23.67,23.73
REDINGTON,17.37,17.37
TTL,21.16,40.77
FSL,42.31,42.80
PFC,4.58,4.58
SMSPHARMA,35.54,35.54
INDIANB,7.12,7.12
PAGEIND,76.99,76.99
LAOPALA,27.86,27.86
AMDIND,87.57,87.57
JKTYRE,15.55,14.57
ASTRAL,69.13,69.13
NAHARPOLY,26.49,26.49
THEMISMED,34.97,34.97
NCLIND,22.69,19.82
BALAMINES,22.56,22.56
BANSWRAS,22.29,22.29
ICRA,35.54,35.54
PHOENIXLTD,42.26,42.64
NDLVENTURE,336.15,336.15
ZENITHSTL,13.98,13.98
BFUTILITIE,8.28,8.28
FORTIS,61.84,59.97
SRHHYPOLTD,10.85,10.38
ALPHAGEO,85.20,19.43
WEBELSOLAR,119.45,108.57
HILTON,62.84,62.84
INSECTICID,15.08,15.10
KMSUGAR,7.82,7.82
NAVINFLUOR,74.38,74.38
TIMETECHNO,20.14,20.14
NAGREEKEXP,14.58,14.58
NELCAST,30.28,34.51
V2RETAIL,84.19,84.19
DLF,68.40,93.61
TARMAT,,78.80
MEGASOFT,92.22,92.22
ADSL,19.90,19.90
ALPA,8.77,8.77
CENTRALBK,8.69,8.69
KPRMILL,48.11,48.11
CIEINDIA,19.98,19.98
MOTILALOFS,17.30,17.30
INDOWIND,39.32,39.32
NAGREEKCAP,0.99,0.99
MAGNUM,9.97,15.28
KSCL,25.01,25.01
POWERGRID,17.83,17.83
CCCL,7.71,
MANGCHEFER,19.18,19.18
MAANALU,26.00,26.00
DELTACORP,9.19,27.92
BAJAJELEC,52.80,60.33
ENERGYDEV,,127.57
CERA,33.67,33.51
RELIGARE,33.33,229.87
BVCL,28.54,28.54
ADANIPORTS,27.09,26.58
EDELWEISS,14.08,14.08
RGL,17.46,17.46
KOLTEPATIL,164.97,164.97
KAUSHALYA,2.80,2.80
COLPAL,48.36,48.36
JYOTHYLAB,33.33,32.99
MADHAV,420.46,420.46
KALYANIFRG,40.39,40.39
HITECHCORP,21.80,22.72
ECLERX,24.85,24.85
TARIL,70.87,71.65
BRIGADE,41.13,41.13
MANAKSIA,7.71,5.94
DVL,15.07,15.07
PATINTLOG,14.00,14.00
ARIES,12.56,12.56
AMBIKCO,12.39,12.39
KAVVERITEL,40.97,40.97
CEATLTD,33.92,32.17
BIRLAMONEY,11.58,11.58
RPOWER,5.93,
JKIL,13.67,13.67
CORDSCABLE,17.82,17.82
KNRCON,4.71,4.66
HERCULES,22.08,22.08
SEPC,105.91,64.31
IRB,4.30,30.28
NMDC,9.13,9.10
GSS,15.57,15.57
NAHARCAP,13.74,13.74
RECLTD,6.66,6.66
VGUARD,55.28,55.28
NESCO,16.84,16.84
DPSCLTD,76.40,76.40
TITAGARH,32.91,32.73
BAJAJFINSV,18.39,18.39
BAJAJ-AUTO,28.04,28.04
DIGISPICE,22.95,42.92
GOKUL,44.03,44.03
RPGLIFE,19.39,37.25
ALMONDZ,48.77,48.77
LOTUSEYE,311.13,325.70
VINYLINDIA,23.74,23.74
UBL,126.28,122.33
ZFCVINDIA,57.39,57.39
20MICRONS,12.86,12.71
JOCIL,60.53,60.53
COUNCODOS,115.44,115.44
TPHQ,21.85,21.85
MAWANASUG,3.75,9.17
HINDNATGLS,8.19,1.27
AJMERA,24.36,24.36
MHRIL,54.40,54.40
VINATIORGA,46.06,46.06
EXCEL,36.56,36.56
ADANIPOWER,16.30,16.30
NHPC,26.95,26.95
GLOBUSSPR,171.86,171.86
OIL,9.08,9.08
EXPLEOSOL,14.48,14.48
RTNPOWER,25.17,25.17
AMRUTANJAN,41.62,41.62
SUNTECK,39.98,39.98
ZYDUSWELL,35.34,35.99
DEN,8.23,8.23
SHILPAMED,71.17,74.11
SARDAEN,23.78,23.76
REFEX,33.47,33.51
GILLANDERS,8.95,14.65
AHLUCONT,18.98,34.24
DLINKINDIA,16.77,16.77
JSWENERGY,43.87,43.87
GODREJPROP,43.00,42.17
DBCORP,11.02,11.02
HINDCOPPER,53.27,53.27
BEARDSELL,12.05,12.05
MMTC,84.45,80.16
NESTLEIND,70.72,73.81
TRF,16.33,16.33
WHIRLPOOL,49.77,47.73
UNITEDTEA,11.67,11.67
MBLINFRA,2.51,
JUBLFOOD,118.76,199.05
VASCONEQ,8.70,19.56
THANGAMAYL,53.41,53.41
EMMBI,21.47,21.47
HATHWAY,33.48,32.82
ARSSINFRA,72.15,72.15
TEXMOPIPES,32.44,11.77
MANINFRA,20.46,20.46
